id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_usaha,satuan,tahun,jenis_jasa
118,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,UNIT,2018,jasa informasi
118,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,UNIT,2018,jasa konsultan pariwisata
145,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,UNIT,2019,jasa informasi
145,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,UNIT,2019,jasa konsultan pariwisata
178,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,UNIT,2020,jasa informasi
172,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,UNIT,2020,jasa konsultan pariwisata
199,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,UNIT,2021,jasa informasi
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,UNIT,2014,jasa informasi
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,UNIT,2014,jasa konsultan pariwisata
38,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,UNIT,2015,jasa informasi
38,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,UNIT,2015,jasa konsultan pariwisata
65,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,UNIT,2016,jasa informasi
65,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,UNIT,2016,jasa konsultan pariwisata
92,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,UNIT,2017,jasa informasi
92,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,UNIT,2017,jasa konsultan pariwisata
119,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,UNIT,2018,jasa informasi
119,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,UNIT,2018,jasa konsultan pariwisata
146,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,UNIT,2019,jasa informasi
146,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,UNIT,2019,jasa konsultan pariwisata
170,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,UNIT,2020,jasa informasi
173,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,UNIT,2020,jasa konsultan pariwisata
200,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,UNIT,2021,jasa informasi
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,UNIT,2014,jasa informasi
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,UNIT,2014,jasa konsultan pariwisata
39,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,UNIT,2015,jasa informasi
39,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,UNIT,2015,jasa konsultan pariwisata
66,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,UNIT,2016,jasa informasi
66,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,UNIT,2016,jasa konsultan pariwisata
93,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,UNIT,2017,jasa informasi
93,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,UNIT,2017,jasa konsultan pariwisata
120,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,UNIT,2018,jasa informasi
120,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,UNIT,2018,jasa konsultan pariwisata
147,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,UNIT,2019,jasa informasi
147,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,UNIT,2019,jasa konsultan pariwisata
176,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,UNIT,2020,jasa informasi
174,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,UNIT,2020,jasa konsultan pariwisata
201,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,UNIT,2021,jasa informasi
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,UNIT,2014,jasa informasi
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1,UNIT,2014,jasa konsultan pariwisata
40,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,UNIT,2015,jasa informasi
40,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1,UNIT,2015,jasa konsultan pariwisata
67,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,UNIT,2016,jasa informasi
67,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1,UNIT,2016,jasa konsultan pariwisata
94,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,UNIT,2017,jasa informasi
94,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1,UNIT,2017,jasa konsultan pariwisata
121,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1,UNIT,2018,jasa informasi
121,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1,UNIT,2018,jasa konsultan pariwisata
148,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,UNIT,2019,jasa informasi
148,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1,UNIT,2019,jasa konsultan pariwisata
175,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,UNIT,2020,jasa informasi
175,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1,UNIT,2020,jasa konsultan pariwisata
202,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,UNIT,2021,jasa informasi
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,UNIT,2014,jasa informasi
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,UNIT,2014,jasa konsultan pariwisata
41,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,UNIT,2015,jasa informasi
41,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,UNIT,2015,jasa konsultan pariwisata
68,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,UNIT,2016,jasa informasi
68,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,UNIT,2016,jasa konsultan pariwisata
95,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,UNIT,2017,jasa informasi
95,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,UNIT,2017,jasa konsultan pariwisata
122,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,UNIT,2018,jasa informasi
122,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,UNIT,2018,jasa konsultan pariwisata
149,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3,UNIT,2019,jasa informasi
149,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,UNIT,2019,jasa konsultan pariwisata
171,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3,UNIT,2020,jasa informasi
176,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,UNIT,2020,jasa konsultan pariwisata
203,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3,UNIT,2021,jasa informasi
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,UNIT,2014,jasa informasi
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,UNIT,2014,jasa konsultan pariwisata
42,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,UNIT,2015,jasa informasi
42,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,UNIT,2015,jasa konsultan pariwisata
69,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,UNIT,2016,jasa informasi
69,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,UNIT,2016,jasa konsultan pariwisata
96,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,UNIT,2017,jasa informasi
96,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,UNIT,2017,jasa konsultan pariwisata
123,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,UNIT,2018,jasa informasi
123,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,UNIT,2018,jasa konsultan pariwisata
150,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,UNIT,2019,jasa informasi
150,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,UNIT,2019,jasa konsultan pariwisata
164,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,UNIT,2020,jasa informasi
177,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,UNIT,2020,jasa konsultan pariwisata
204,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,UNIT,2021,jasa informasi
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,UNIT,2014,jasa informasi
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,UNIT,2014,jasa konsultan pariwisata
43,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,UNIT,2015,jasa informasi
43,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,UNIT,2015,jasa konsultan pariwisata
70,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,UNIT,2016,jasa informasi
70,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,UNIT,2016,jasa konsultan pariwisata
97,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,UNIT,2017,jasa informasi
97,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,UNIT,2017,jasa konsultan pariwisata
124,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,UNIT,2018,jasa informasi
124,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,UNIT,2018,jasa konsultan pariwisata
151,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,UNIT,2019,jasa informasi
151,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,UNIT,2019,jasa konsultan pariwisata
163,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,UNIT,2020,jasa informasi
178,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,UNIT,2020,jasa konsultan pariwisata
205,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,UNIT,2021,jasa informasi
44,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,UNIT,2015,jasa informasi
44,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,UNIT,2015,jasa konsultan pariwisata
71,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,UNIT,2016,jasa informasi
71,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,UNIT,2016,jasa konsultan pariwisata
98,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,7,UNIT,2017,jasa informasi
98,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,UNIT,2017,jasa konsultan pariwisata
125,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,7,UNIT,2018,jasa informasi
125,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,UNIT,2018,jasa konsultan pariwisata
152,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3,UNIT,2019,jasa informasi
152,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1,UNIT,2019,jasa konsultan pariwisata
174,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3,UNIT,2020,jasa informasi
179,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1,UNIT,2020,jasa konsultan pariwisata
206,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,UNIT,2021,jasa informasi
18,32,JAWA BARAT,3271,KOTA BOGOR,0,UNIT,2014,jasa informasi
18,32,JAWA BARAT,3271,KOTA BOGOR,0,UNIT,2014,jasa konsultan pariwisata
45,32,JAWA BARAT,3271,KOTA BOGOR,0,UNIT,2015,jasa informasi
45,32,JAWA BARAT,3271,KOTA BOGOR,0,UNIT,2015,jasa konsultan pariwisata
