kode_kabupaten_kota,nama_kabupaten_kota,jumlah,jenis_akomodasi,tahun
3210,KABUPATEN MAJALENGKA,5,HOMESTAY,2019
3210,KABUPATEN MAJALENGKA,6,PERKEMAHAN,2019
3210,KABUPATEN MAJALENGKA,15,HOTEL,2020
3210,KABUPATEN MAJALENGKA,37,HOMESTAY,2020
3210,KABUPATEN MAJALENGKA,6,PERKEMAHAN,2020
3210,KABUPATEN MAJALENGKA,15,HOTEL,2021
3210,KABUPATEN MAJALENGKA,37,HOMESTAY,2021
3210,KABUPATEN MAJALENGKA,6,PERKEMAHAN,2021
3211,KABUPATEN SUMEDANG,3,HOTEL,2014
3211,KABUPATEN SUMEDANG,1,PERKEMAHAN,2014
3211,KABUPATEN SUMEDANG,3,HOTEL,2015
3211,KABUPATEN SUMEDANG,1,PERKEMAHAN,2015
3211,KABUPATEN SUMEDANG,3,HOTEL,2016
3211,KABUPATEN SUMEDANG,1,PERKEMAHAN,2016
3211,KABUPATEN SUMEDANG,3,HOTEL,2017
3211,KABUPATEN SUMEDANG,1,PERKEMAHAN,2017
3211,KABUPATEN SUMEDANG,0,HOTEL,2018
3211,KABUPATEN SUMEDANG,0,HOMESTAY,2018
3211,KABUPATEN SUMEDANG,0,PERKEMAHAN,2018
3211,KABUPATEN SUMEDANG,24,HOTEL,2019
3211,KABUPATEN SUMEDANG,0,HOMESTAY,2019
3211,KABUPATEN SUMEDANG,0,PERKEMAHAN,2019
3211,KABUPATEN SUMEDANG,31,HOTEL,2020
3211,KABUPATEN SUMEDANG,30,HOMESTAY,2020
3211,KABUPATEN SUMEDANG,6,PERKEMAHAN,2020
3211,KABUPATEN SUMEDANG,37,HOTEL,2021
3211,KABUPATEN SUMEDANG,30,HOMESTAY,2021
3211,KABUPATEN SUMEDANG,2,PERKEMAHAN,2021
3212,KABUPATEN INDRAMAYU,0,HOTEL,2014
3212,KABUPATEN INDRAMAYU,0,PERKEMAHAN,2014
3212,KABUPATEN INDRAMAYU,0,HOTEL,2015
3212,KABUPATEN INDRAMAYU,0,PERKEMAHAN,2015
3212,KABUPATEN INDRAMAYU,3,HOTEL,2016
3212,KABUPATEN INDRAMAYU,0,PERKEMAHAN,2016
3212,KABUPATEN INDRAMAYU,3,HOTEL,2017
3212,KABUPATEN INDRAMAYU,0,PERKEMAHAN,2017
3212,KABUPATEN INDRAMAYU,26,HOTEL,2018
3212,KABUPATEN INDRAMAYU,0,HOMESTAY,2018
3212,KABUPATEN INDRAMAYU,1,PERKEMAHAN,2018
3212,KABUPATEN INDRAMAYU,28,HOTEL,2019
3212,KABUPATEN INDRAMAYU,0,HOMESTAY,2019
3212,KABUPATEN INDRAMAYU,5,PERKEMAHAN,2019
3212,KABUPATEN INDRAMAYU,32,HOTEL,2020
3212,KABUPATEN INDRAMAYU,0,HOMESTAY,2020
3212,KABUPATEN INDRAMAYU,5,PERKEMAHAN,2020
3212,KABUPATEN INDRAMAYU,34,HOTEL,2021
3212,KABUPATEN INDRAMAYU,0,HOMESTAY,2021
3212,KABUPATEN INDRAMAYU,5,PERKEMAHAN,2021
3213,KABUPATEN SUBANG,2,HOTEL,2014
3213,KABUPATEN SUBANG,5,PERKEMAHAN,2014
3213,KABUPATEN SUBANG,2,HOTEL,2015
3213,KABUPATEN SUBANG,5,PERKEMAHAN,2015
3213,KABUPATEN SUBANG,7,HOTEL,2016
3213,KABUPATEN SUBANG,6,PERKEMAHAN,2016
3213,KABUPATEN SUBANG,7,HOTEL,2017
3213,KABUPATEN SUBANG,6,PERKEMAHAN,2017
3213,KABUPATEN SUBANG,37,HOTEL,2018
3213,KABUPATEN SUBANG,15,HOMESTAY,2018
3213,KABUPATEN SUBANG,6,PERKEMAHAN,2018
3213,KABUPATEN SUBANG,50,HOTEL,2019
3213,KABUPATEN SUBANG,54,HOMESTAY,2019
3213,KABUPATEN SUBANG,5,PERKEMAHAN,2019
3213,KABUPATEN SUBANG,49,HOTEL,2020
3213,KABUPATEN SUBANG,104,HOMESTAY,2020
3213,KABUPATEN SUBANG,6,PERKEMAHAN,2020
3213,KABUPATEN SUBANG,50,HOTEL,2021
